,information,match,bet,outcome,course,date,status
0,,"['Głogów', 'W.Kraków']",Liczba goli,poniżej 3.5,1.33,2022-08-26T18:30:00.000Z,active
0,,"['Morecambe', 'MK Dons']",Liczba goli,poniżej 3.5,1.33,2022-08-27T14:00:00.000Z,active
0,,"['Banfield', 'Defensa y Just.']",Liczba goli,poniżej 3.5,1.25,2022-08-27T18:30:00.000Z,active
0,,"['Dundee Utd', 'Celtic']",Liczba goli,poniżej 4.5,1.33,2022-08-28T11:00:00.000Z,active
0,,"['Inter Turku', 'KuPS']",Liczba goli,poniżej 3.5,1.33,2022-08-27T14:00:00.000Z,active
0,,"['Millwall', 'Reading']",Liczba goli,poniżej 3.5,1.33,2022-08-27T14:00:00.000Z,active
0,,"['Domzale', 'Koper']",Liczba goli,powyżej 1.5,1.33,2022-08-27T18:15:00.000Z,active
0,,"['Maritimo', 'Portimonense']",Liczba goli,poniżej 3.5,1.33,2022-08-27T14:30:00.000Z,active
0,,"['Colchester Utd', 'Brentford']",Liczba goli,powyżej 1.5,1.22,2022-08-23T18:45:00.000Z,win
0,,"['Sheffield Wed.', 'Forest Green R.']",Liczba goli,powyżej 1.5,1.33,2022-08-27T14:00:00.000Z,active
0,,"['Skra Cz.', 'Sandecja']",Liczba goli,poniżej 3.5,1.25,2022-08-28T13:00:00.000Z,active
0,,"['Barrow', 'Lincoln City']",Liczba goli,poniżej 3.5,1.33,2022-08-23T18:45:00.000Z,lost
0,,"['Mont. Wanderers', 'Albion FC (URU)']",1.połowa - liczba goli,poniżej 1.5,1.33,2022-08-27T13:00:00.000Z,active
0,2141-7E25AJ,,,,,,
1,1000,,,,,,
2,[13],,,,,,
3,16,,,,,,
4,38399.37,,,,,,
5,11917.04,,,,,,
6,bets:,,,,,,
0,,"['Osijek', 'Hajduk Split']",Liczba goli,poniżej 3.5,1.33,2022-08-28T19:05:00.000Z,active
0,,"['OFI Crete', 'Panathinaikos']",1.połowa - liczba goli,poniżej 1.5,1.33,2022-08-28T16:00:00.000Z,active
0,,"['Cittadella', 'Venezia']",Liczba goli,poniżej 3.5,1.33,2022-08-28T18:45:00.000Z,active
0,,"['Start', 'Grorud']",Mecz,1,1.28,2022-08-29T16:00:00.000Z,active
0,,"['Sivasspor', 'Malmo FF']",Liczba goli,poniżej 3.5,1.33,2022-08-25T17:00:00.000Z,active
0,,"['Ipswich Town', 'Barnsley']",Liczba goli,poniżej 3.5,1.33,2022-08-27T14:00:00.000Z,active
0,,"['Hajduk Split', 'Villarreal']",Liczba goli,powyżej 1.5,1.25,2022-08-25T19:00:00.000Z,active
